,x,y,z,iter
0,491.67100078542717,114.60238397773355,501.4656,0.0
1,509.835468927864,30.994140268303454,497.063,1.0
2,353.87808945414145,-17.57991790212691,500.0251,2.0
3,434.53692700259853,70.82193909399211,501.7079,3.0
4,464.8520685180556,223.96837646886706,512.2948,4.0
5,378.586954792263,-121.31077389977872,495.3733,5.0
6,423.64780599810183,53.05165547784418,504.9408,6.0
7,396.446089596604,160.7310433210805,508.5152,7.0
8,360.067498262506,-2.696143385954201,500.6576,8.0
9,349.13579604786355,4.097421852871776,504.1581,9.0
10,423.07876516121905,260.9177834233269,507.8329,10.0
11,65.90729102643672,-533.6899467771873,508.1424,11.0
12,462.70219591865316,112.04645739402622,502.0552,12.0
13,414.16317808337044,255.5468460759148,514.1225,13.0
14,367.4080698979087,172.13174795545638,505.8697,14.0
15,104.35413188289385,-624.0319328540936,509.7211,15.0
16,576.5334317135857,228.32477130461484,503.1025,16.0
17,422.6785718315514,45.84466750174761,497.8562,17.0
18,400.2048169958871,159.28395254630595,508.5802,18.0
19,575.3843539070804,231.6056888103485,510.1744,19.0
20,458.9968916710932,135.4551021559164,497.1511,20.0
21,370.5782340099104,185.53429485391825,507.7843,21.0
22,444.2642267161282,170.65774800814688,504.0769,22.0
23,370.14687673107255,175.82152920681983,509.8263,23.0
24,564.6185719463974,236.72488084435463,504.2978,24.0
25,442.01566789660137,146.69235024787486,499.9854,25.0
26,568.7228886066005,230.7255809661001,508.3024,26.0
27,548.7741064025322,219.3225412387401,504.9292,27.0
28,107.64799291372765,-398.2595298970118,504.1387,28.0
29,393.9875052712159,-106.23652247525752,499.2573,29.0
30,314.28740449855104,-172.96437556482852,495.0627,30.0
31,499.8372491557384,261.7970017082989,506.0504,31.0
32,45.03014550788794,-530.9355372507125,508.7135,32.0
33,415.0695005173329,45.022492215037346,504.0841,33.0
34,378.41198737558443,21.410249542444944,501.9584,34.0
35,492.801670088782,3.6401883149519563,495.8298,35.0
36,534.8635235781549,156.77283751778305,503.9387,36.0
37,574.6979604199296,231.7976112542674,510.1167,37.0
38,504.7044378145365,43.22602697927505,498.5708,38.0
39,362.68939919315744,148.52906804624945,508.2819,39.0
40,382.7627907580463,162.64659832324833,506.3204,40.0
41,451.4871706367703,81.53201203979552,507.3868,41.0
42,349.9541372539243,57.93678218964487,501.0457,42.0
43,367.1644823306706,171.69519667234272,505.9564,43.0
44,584.801668209373,221.57390491943806,510.5746,44.0
45,510.6836847376544,142.25333758164197,502.9093,45.0
46,445.8715609520441,81.35220984276384,503.8248,46.0
47,498.7828242823016,118.1070256754756,501.4474,47.0
48,402.3379429617198,246.69139331392944,514.083,48.0
49,490.0083893367555,75.07759132701904,499.8356,49.0
50,402.43905097967945,-93.98117363452911,500.0329,50.0
51,279.73108259867877,-78.19605304393917,503.7739,51.0
52,223.74573348346166,-503.5842539742589,505.4793,52.0
53,159.79824424732942,-435.9566115383059,509.2241,53.0
54,470.7542541680159,-19.227381935343146,499.5915,54.0
55,499.9433083429467,50.802404501475394,501.5485,55.0
56,149.59874988452066,-197.49986971262842,507.4339,56.0
57,144.27167692757212,-671.4468951094896,512.9206,57.0
58,176.8350271882955,-26.00727019738406,512.8127,58.0
59,221.74045406817459,-515.9312274334952,505.0381,59.0
60,258.65279211255256,-86.68789839558303,503.5861,60.0
61,169.30145931907464,-20.094146387651563,503.6489,61.0
62,205.59445598896127,-37.085287153720856,504.89,62.0
63,312.379740754026,-172.44943185988814,498.3723,63.0
64,313.3243785806699,-169.87493572197855,500.6179,64.0
65,-13.298749618348666,-423.37657351233065,505.9549,65.0
66,165.9522822861327,-74.20359920151532,504.6611,66.0
67,154.29190888092853,-345.0401924708858,505.0146,67.0
68,-26.525046179187484,-312.78732563275844,504.4842,68.0
69,179.3337699198164,-139.6559352874756,507.1412,69.0
70,155.66019583737943,-281.59681512322277,507.8903,70.0
71,200.76662988052703,-585.1880979342386,507.7752,71.0
72,233.36142133024987,-425.4139981530607,502.5092,72.0
73,245.89560033904854,-87.77760867774487,498.8944,73.0
74,197.14345528034028,-228.0298823583871,502.5872,74.0
75,-28.264525700127706,-291.95384417660534,504.367,75.0
76,188.39180626580492,-435.24362966790795,503.5993,76.0
77,74.4834413214121,-533.2808606429026,508.1444,77.0
78,370.721717516426,37.52484070044011,499.6289,78.0
79,115.18576994538307,-519.2054732432589,506.031,79.0
80,311.85417577880435,-130.91456851921976,509.8264,80.0
81,106.46525666152593,-442.46151474677026,508.609,81.0
82,364.7664258875884,156.7695016702637,508.4446,82.0
83,413.0061437989352,42.7472216244787,509.9655,83.0
84,3.1086575814988464,-448.7310182955116,507.8958,84.0
85,349.0725176924607,5.77146147377789,504.5872,85.0
86,209.42485044221394,-110.79607044253498,502.2577,86.0
87,345.0426600573119,96.90726813022047,507.0148,87.0
88,188.93473668419756,-107.53249934501946,508.0092,88.0
89,193.84225701214746,-81.92742119543254,508.1598,89.0
90,196.71741466142703,-100.23121807165444,508.2423,90.0
91,-6.39276759326458,-236.91024278383702,512.3704,91.0
92,296.7511303136125,-111.94971780572087,510.7229,92.0
93,213.84741328959353,-490.51929487288,503.4553,93.0
94,354.06444230279885,117.985934400931,507.1284,94.0
95,266.73433619597927,-84.5491751767695,502.6276,95.0
96,156.15838402102236,-248.35553658381104,507.7891,96.0
97,170.44464399421122,-220.02907380089164,502.553,97.0
98,346.3100640696939,-24.564404829405248,499.8922,98.0
99,20.42794413457159,-483.4374011904001,507.8729,99.0
100,137.75230379146524,-508.9468517014757,507.9027,100.0
101,420.04632339871023,64.67030216846615,499.7586,101.0
102,325.540819198126,-162.25686010252684,498.2858,102.0
103,130.1363772643963,-439.9151509255171,505.9653,103.0
104,150.40187609451823,-51.30033538211137,506.6626,104.0
105,34.42671527771745,-221.88302681222558,508.464,105.0
106,312.8793289504247,-174.22921785525978,495.2082,106.0
107,424.7531237802468,-77.09055308159441,496.7388,107.0
108,83.03665635769721,-85.00796544458717,508.4582,108.0
109,295.08119599788915,-184.64684814121574,500.7884,109.0
110,166.88563240971416,-217.2045002747327,503.4123,110.0
111,509.1810672398424,30.176746362820268,499.1985,111.0
112,373.4617748792516,31.582917405292392,500.2294,112.0
113,228.48201422486454,-476.4008750366047,503.8205,113.0
114,566.7235703613842,231.679188657552,508.3179,114.0
115,119.55969826714136,-648.700638525188,512.0781,115.0
116,329.77866688056383,-150.31141152326018,502.2761,116.0
117,391.04091960180085,93.85207632742822,501.3143,117.0
118,484.20522497885395,83.95128005836159,503.3647,118.0
119,409.75534198072273,74.80193910375237,501.0124,119.0
120,358.8381729773246,130.5020353430882,507.5889,120.0
121,119.59071356197819,-649.9415739066899,504.5008,121.0
122,82.67243276489899,-590.173300081864,510.2936,122.0
123,539.140196749242,169.24490527063608,508.5121,123.0
124,285.9216700058896,44.10813633352518,504.7694,124.0
125,50.87387650902383,-537.4978170413524,507.1512,125.0
126,487.51677204144653,80.52069418225437,500.1373,126.0
127,-20.866850054706447,-402.8850164562464,506.6395,127.0
128,337.9835541737266,17.815317562781274,505.118,128.0
129,63.34913204971235,-554.6893310640007,510.7254,129.0
130,540.2127620558022,169.23945671785623,507.0568,130.0
131,249.67706100747455,-31.645408952608705,505.2752,131.0
