,x,y,z,iter
0,251.74382228625473,-81.45261886063963,508.5526,0.0
1,112.80731312476564,-62.509784740395844,510.5104,1.0
2,25.014366761315614,-122.49188641086221,509.5879,2.0
3,272.1799140571384,-86.7501675542444,511.0953,3.0
4,241.7796611271333,24.709291820414364,505.1137,4.0
5,151.35023478756193,-51.71520365215838,505.3604,5.0
6,191.8579942396609,-106.97496798262,507.6416,6.0
7,193.1857910042163,-113.92998825479299,502.7837,7.0
8,240.65071135188919,16.427938463166356,511.9361,8.0
9,195.02307279524393,-84.6739358836785,503.4895,9.0
10,323.411876695347,70.16322034876794,512.6916,10.0
11,162.11502199922688,-291.0159149700776,502.5665,11.0
12,238.51408099906985,-266.90685336478055,500.1262,12.0
13,-28.45967252855189,-170.49696014169604,508.2407,13.0
14,189.55139233905356,-121.6782731320709,507.219,14.0
15,109.19649107439909,-119.59792724996805,514.7329,15.0
16,268.40522730338853,-75.61722030490637,502.9636,16.0
17,148.28423893556464,-224.77320534642786,507.9229,17.0
18,108.80083356157411,-119.1136733442545,507.0174,18.0
19,314.49976022168994,61.152761857025325,506.1515,19.0
20,272.31165067339316,-79.08561245538294,503.5146,20.0
21,113.75827393052168,-62.41560263838619,510.3651,21.0
22,162.13181498355698,-497.31074740737677,507.0591,22.0
23,33.76737284834962,-218.26930289249867,503.4966,23.0
24,113.78181147528812,-62.429279615171254,510.3653,24.0
25,273.6324988458073,37.9373738784343,506.2334,25.0
26,-12.594399692257866,-147.53576376475394,507.1139,26.0
27,256.34623982035555,-51.6954109556973,504.2668,27.0
28,128.26034880499355,-269.00276653748006,507.4508,28.0
29,108.81182077038102,-119.09176794439554,506.9644,29.0
30,346.6512490104651,-25.778542232699692,501.2433,30.0
31,112.59430514590349,-308.7189256576821,506.1114,31.0
32,168.55401313945185,-180.1088719908148,503.8719,32.0
33,257.2276350695174,-51.33491700422019,506.6359,33.0
34,46.555847874959,-107.27630623430014,507.9754,34.0
35,149.5561475835275,-197.4146943986416,507.2489,35.0
36,156.11959368386306,-239.2084195278585,507.6718,36.0
37,184.19007221562788,-133.0985480742529,504.0,37.0
38,116.07101932214573,-264.7502277633175,504.6421,38.0
39,248.85577999497764,-11.728062497451901,508.2491,39.0
40,10.2424815853592,-237.10750258434564,512.8215,40.0
41,194.24253028968815,-92.06361712422222,503.6366,41.0
42,244.6478388963733,13.006804155185819,509.5536,42.0
43,152.72820913535543,-349.2819453375414,504.0745,43.0
